username, created_at, lng, lat, text
alg136, Mon Apr 20 00:18:43 +0000 2020, -84.612392, 34.011077, @the_real_og8 @CarnivoreMD He’s the one I learned the proper carnivore from and sent you a podcast on mental health and food 😂 
MarieMaduemezi1, Mon Apr 20 00:18:43 +0000 2020, -78.748399, 42.907207, @RepJeffries We want our States &amp; local gov. Covered.#25AmendmentNow 🇺🇸 
mauriceholmes35, Mon Apr 20 00:18:43 +0000 2020, -117.017630, 32.769690, 😂😂😂All I got to say is I don’t wanna hear no slander of today’s basketball 
TimAnde50674893, Mon Apr 20 00:18:43 +0000 2020, -83.173867, 32.678207, @essej45 @DailyCaller He pled guilty for being tricked in a interview he didn't know HE was in this is a old law en… https://t.co/SueKXmJ8Mq 
mai6042, Mon Apr 20 00:18:43 +0000 2020, -123.123581, 49.257639, ダメだこりゃ😩🗾 
PhillipsRanchCA, Mon Apr 20 00:18:43 +0000 2020, -117.754800, 34.041900, Phillips Ranch CA Sun Apr 19th PM Forecast: TONIGHT Mostly Cloudy Lo 50 MONDAY Partly Cloudy Hi 66 
Mister_Gnome, Mon Apr 20 00:18:43 +0000 2020, -77.039200, 39.024700, Drinking a Moore's Ride by @brookevillebeer @ The Gnomestead on Belvedere — https://t.co/cdyr6Zqqok 
chuckinftl, Mon Apr 20 00:18:43 +0000 2020, -106.084663, 39.642522, Cable TV can air his garbage all day if they want.  I refuse to watch it.    I notice CNN keeps switching to other… https://t.co/VGrravhBVC 
BoltsyAmsterdam, Mon Apr 20 00:18:43 +0000 2020, -73.831187, 40.670879, @FritzVonMulkey Pedro morales as well. But Bruno was the top draw. 
ncoliver33, Mon Apr 20 00:18:43 +0000 2020, -78.657837, 35.843981, @iROTEthebook I had a dream or was it real?? 
cookstermpls, Mon Apr 20 00:18:43 +0000 2020, -93.262046, 44.970610, @GlassPolly I feel like that is accurate. 
hamburger9000, Mon Apr 20 00:18:43 +0000 2020, -122.430277, 48.753353, my animal crossing hot take is that raymond sucks 
Christi23301815, Mon Apr 20 00:18:44 +0000 2020, -82.255532, 27.875499, @WeKnowEDKH @WyoDems Congrats Joe !!! 
Gasparkus, Mon Apr 20 00:18:44 +0000 2020, -74.006400, 40.714200, 🚃 @ New York, New York https://t.co/3L2Bw82wxq 
SarahHeartsNYC, Mon Apr 20 00:18:44 +0000 2020, -73.968542, 40.780709, I was feeling irritable, so I took a 30 minute nap. I woke up just in time to hear Trump saying what good people th… https://t.co/cXBtUkDdfE 
TylerCuffman, Mon Apr 20 00:18:44 +0000 2020, -81.396800, 40.967247, https://t.co/8F34YhYn19 
hftjobs, Mon Apr 20 00:18:44 +0000 2020, -119.672961, 36.328021, If you're looking for work in #Hanford, CA, check out this job: https://t.co/P2vbicMtcn #CustomerService 
NorthPantherPBN, Mon Apr 20 00:18:44 +0000 2020, -90.600600, 38.757838, Games vs Howell and West available till tomorrow. Feel free to download via link in earlier tweet. 
sauv_blahnik, Mon Apr 20 00:18:44 +0000 2020, -78.443056, 39.665278, Great times adventuring #withmylove ❤️ today 🌄 handmaidsonhulu fans swipe 👉 I found #loavesandfishes on… https://t.co/5Q3rdkSZrk 
tmcq3, Mon Apr 20 00:18:44 +0000 2020, -81.340286, 41.698976, @RaylaRimpson Nice smile! 
OMGxCallMeJUDY, Mon Apr 20 00:18:44 +0000 2020, -84.532133, 33.948124, lets go 
PicoRivera_CA, Mon Apr 20 00:18:44 +0000 2020, -118.091300, 33.989500, Pico Rivera CA Sun Apr 19th PM Forecast: TONIGHT Mostly Cloudy Lo 50 MONDAY Partly Cloudy Hi 66 
tmxnn, Mon Apr 20 00:18:44 +0000 2020, -73.968542, 40.780709, 🥺 mah heart. ♥️♥️ 
